analysis_module	purpose	public_script	original_script	external_data_ids	retained_inputs	expected_outputs	manuscript_claim_ids
04_causal_triangulation	Joint lipid MVMR preparation	code/04_causal_triangulation/06_prepare_joint_lipid_mvmr.py	scripts/257_p1_joint_global_lipid_mvmr.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
04_causal_triangulation	Joint lipid MVMR	code/04_causal_triangulation/07_run_joint_lipid_mvmr.R	scripts/258_p1_global_lipid_mvmr.R	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R10
04_causal_triangulation	MR-PRESSO and leave-one-out	code/04_causal_triangulation/08_run_mr_presso_and_leave_one_out.R	scripts/259_p1_mr_presso_and_loo.R	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
04_causal_triangulation	Mediation identifiability synthesis	code/04_causal_triangulation/09_synthesize_mediation_identifiability.py	scripts/260_p1_mr_mediation_synthesis.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
04_causal_triangulation	Local PC-MVMR preparation	code/04_causal_triangulation/10_prepare_local_pc_mvmr.py	scripts/261_prepare_pc_mvmr_inputs.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
04_causal_triangulation	Local PC-GMM	code/04_causal_triangulation/11_run_local_pc_gmm.R	scripts/262_run_pc_mvmr.R	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R10
04_causal_triangulation	PC-dimension sensitivity	code/04_causal_triangulation/12_test_pc_dimension_sensitivity.R	scripts/265_pc_mediation_dimension_sensitivity.R	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R10
04_causal_triangulation	Independent trans-sQTL search	code/04_causal_triangulation/13_audit_independent_trans_sqtl_instruments.py	scripts/264_audit_interval_trans_sqtl.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
04_causal_triangulation	Final causal-scope audit	code/04_causal_triangulation/14_finalize_causal_scope_audit.py	scripts/266_finalize_mediation_rescue_audit.py	D01;D02;D03;D04;D05;D18;D19	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R10
05_cell_context	Cell-type chromatin context	code/05_cell_context/01_analyze_cell_type_chromatin_support.py	scripts/143_cell_type_chromatin_support.py	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
05_cell_context	Single-cell meta-analysis extraction	code/05_cell_context/02_extract_single_cell_meta_analysis.py	scripts/227_extract_nakatsuka_tspan14_meta.py	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R12
05_cell_context	GSE138852 pseudobulk	code/05_cell_context/03_build_gse138852_pseudobulk.py	scripts/228_gse138852_pool_pseudobulk.py	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R12
05_cell_context	GSE138852 differential expression	code/05_cell_context/04_analyze_gse138852_pseudobulk.R	scripts/229_gse138852_pool_pseudobulk_edger.R	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R12
05_cell_context	GSE243292 pseudobulk	code/05_cell_context/05_build_gse243292_microglia_pseudobulk.py	scripts/230_gse243292_microglia_pseudobulk.py	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R12
05_cell_context	GSE243292 differential expression	code/05_cell_context/06_analyze_gse243292_microglia_pseudobulk.R	scripts/231_gse243292_microglia_edger.R	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R12
05_cell_context	Cell-attribution guardrail	code/05_cell_context/07_separate_bulk_and_cell_resolved_evidence.py	scripts/254_p1_cell_type_attribution_audit.py	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R11
05_cell_context	Cell-context synthesis	code/05_cell_context/08_synthesize_cell_context_evidence.py	scripts/268_cell_context_mechanism_audit.py	D05;D06;D08;D09;D10;D11;D12;D13;D14	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R11
06_transcript_and_protein_context	DTU and transcript interpretation	code/06_transcript_and_protein_context/01_interpret_gene_level_dtu.py	scripts/144_gene_level_dtu_transcript_interpretation.py	D15;D16;D17;D20	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
06_transcript_and_protein_context	Splice-to-protein mapping	code/06_transcript_and_protein_context/02_map_splice_boundary_to_protein.py	scripts/99_map_tspan14_splice_to_protein_features.py	D15;D16;D17;D20	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R13
06_transcript_and_protein_context	EC2 and AlphaFold context	code/06_transcript_and_protein_context/03_analyze_ec2_structural_context.py	scripts/162_tspan14_ec2_structural_context.py	D15;D16;D17;D20	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R13
06_transcript_and_protein_context	Proteomic evidence audit	code/06_transcript_and_protein_context/04_audit_protein_and_pqtl_evidence.py	scripts/191_p2_protein_context_direct_evidence_audit.py	D15;D16;D17;D20	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	R14
07_manuscript_tables	Main publication tables	code/07_manuscript_tables/01_build_main_tables.py	scripts/272_rebuild_main_tables.py	derived source tables from all analysis modules	figure panel source data and Tables S1-S17 where applicable	manuscript estimate, figure source table, main table, or supplementary table	
