analysis_block	trait_pair	region_grch38	allele_compatible_overlapping_snps	p1	p2	p12_default	pp_h4_p12_div_10	pp_h4_default	pp_h4_p12_times_10	default_pp_h3	method	ld_panel	analysis	estimate	effect_scale	odds_ratio	odds_ratio_95ci_low	odds_ratio_95ci_high	p_value	p_value_test	n_donors	converged	interpretation	metric	value	outcome	off_diagonal_noise_sd	n_draws	estimate_median	estimate_p025	estimate_p975	se_median	proportion_positive	analysis_role	trait_resource	primary_publication	doi	UK_Biobank_included	public_evidence	cross_trait_overlap_status	interpretive_consequence	claim_id	manuscript_location	reported_result	public_scripts	figure_or_table	manuscript_term_found	reproducibility_status
cis-MR LD audit																								condition_number	25.019529004932604																							
cis-MR LD audit																								effective_rank_entropy	2.678619853525953																							
cis-MR LD audit																								effective_rank_eigenvalue_gt_0.1	5.0																							
cis-MR perturbation audit																										AD	0.02	1000.0	0.0650790127972307	0.064304552009187	0.0660416288205324	0.0107865499673705	1.0															
cis-MR perturbation audit																										AD	0.05	1000.0	0.0651470406588583	0.0625690322261631	0.0716790301261652	0.010691814907562	1.0															
cis-MR perturbation audit																										TC	0.02	1000.0	0.0088095136180832	0.0086312987173176	0.0090359784647236	0.0016484845570032	1.0															
cis-MR perturbation audit																										TC	0.05	1000.0	0.0088296244996421	0.0083127515292826	0.0098856536345564	0.001626633984879	1.0															
cis-MR perturbation audit																										LDL	0.02	1000.0	0.0083293965562814	0.0081179242517338	0.0085210585821584	0.0016624028368155	1.0															
cis-MR perturbation audit																										LDL	0.05	1000.0	0.0083652022708611	0.0076293882212191	0.0093212173001466	0.0016431717767456	1.0															
cis-MR perturbation audit																										nonHDL	0.02	1000.0	0.009732667915211	0.0094489646770154	0.0100412901098109	0.001960487093	1.0															
cis-MR perturbation audit																										nonHDL	0.05	1000.0	0.0098659501643053	0.0089953990995856	0.0117261856208403	0.0019350781561954	1.0															
source-GWAS cohort-overlap audit																																		Outcome	Bellenguez Alzheimer disease GWAS	Bellenguez et al., Nature Genetics (2022)	10.1038/s41588-022-01024-z	yes	The published meta-analysis reports UK Biobank diagnosed and proxy dementia cases and controls.	Known overlap with the lipid meta-analysis through UK Biobank; exact participant intersection is unavailable from summary statistics.	Genome-wide MR and MVMR are interpreted as causal-scope sensitivity analyses rather than overlap-free causal estimates.							
source-GWAS cohort-overlap audit																																		Exposure	Global Lipids Genetics Consortium 2021	Graham et al., Nature (2021)	10.1038/s41586-021-04064-3	yes	The published multi-ancestry lipid meta-analysis reports use of the UK Biobank resource.	Known overlap with the Alzheimer disease meta-analysis through UK Biobank; exact participant intersection is unavailable from summary statistics.	A no-UK-Biobank re-analysis could not be constructed from the retained public summary release.							
source-GWAS cohort-overlap audit																																		Audit	AD versus lipid source-GWAS overlap	Cross-publication cohort audit		yes	Both primary publications explicitly identify UK Biobank participation.	Direction of overlap is confirmed, but cohort-level covariance and participant identifiers are not public.	Potential weak-instrument bias toward confounded observational association is considered when interpreting genome-wide MR results.							
claim-to-code map																																										R1	Results: APOE-aware screen	Genome-wide AD-HDL-C genetic correlation and extended-APOE sensitivity	code/01_genetic_architecture/01_run_baseline_ldsc.py; code/01_genetic_architecture/04_run_extended_apoe_ld_conditioning.py; code/01_genetic_architecture/05_run_apoe_window_sensitivity.py	Figure 1A; Table 1; Supplementary Figure S1; Tables S1-S2	yes	PASS
claim-to-code map																																										R2	Results: non-APOE regional screen	TSPAN14 regional sharing with TC, LDL-C and non-HDL-C, including shared-prior sensitivity	code/02_colocalization_and_finemapping/01_run_regional_coloc_susie.R; code/02_colocalization_and_finemapping/02_run_hyprcoloc.R; code/02_colocalization_and_finemapping/04_run_tspan14_multitrait_hyprcoloc.R; code/02_colocalization_and_finemapping/09_rescale_coloc_prior_sensitivity.py	Figure 1B-C; Table 1; Tables S3-S4	yes	PASS
claim-to-code map																																										R3	Results: fine-mapping	Credible-set prioritization and signed functional-haplotype phase audit	code/02_colocalization_and_finemapping/03_run_susie_finemapping.R; code/02_colocalization_and_finemapping/06_annotate_tspan14_ld_block.py; code/02_colocalization_and_finemapping/07_build_signed_functional_haplotype_audit.sh; code/02_colocalization_and_finemapping/08_summarize_signed_functional_haplotype.py	Figure 1D; Figures S2-S3; Table S5; Table S19	yes	PASS
claim-to-code map																																										R4	Results: exact splice event	Risk-aligned microglial exon5-6 sQTL	code/03_exact_splicing/01_harmonize_microglial_sqtl_alleles.py; code/03_exact_splicing/02_define_exact_exon5_6_event.py	Figure 2; Table 2	yes	PASS
claim-to-code map																																										R5	Results: biological magnitude	Beta-binomial canonical-cryptic read-count model and Firth donor-detection sensitivity	code/03_exact_splicing/10_audit_count_level_acceptor_choice.py	Figure 3B; Table 2; Figure S4; Tables S6-S7	yes	PASS
claim-to-code map																																										R6	Results: neural replication	Coordinate-identical exon5-6 sQTL replication across four neural tissues	code/03_exact_splicing/05_replicate_exact_event_across_neural_tissues.py	Figure 3A; Figure S5; Table S8	yes	PASS
claim-to-code map																																										R7	Results: adjacent-junction co-usage	Exon5-6 and exon6-7 aggregate-count correlation	code/03_exact_splicing/06_analyze_adjacent_junction_cousage.py	Figure 3C-D; Figure S6; Table S9	yes	PASS
claim-to-code map																																										R8	Results: exact-event colocalization	Exact exon5-6 colocalization with AD and cholesterol traits	code/03_exact_splicing/07_colocalize_exact_event_with_ad.R; code/03_exact_splicing/08_colocalize_exact_event_with_lipids.R; code/03_exact_splicing/09_run_exact_event_coloc_susie.R	Figure 3C-D; Table 2	yes	PASS
claim-to-code map																																										R9	Results: cis-MR	Signed-LD local molecular triangulation, numerical robustness and overlap sensitivity	code/04_causal_triangulation/01_harmonize_ld_and_allele_orientation.py; code/04_causal_triangulation/02_run_ld_aware_cis_mr.py; code/04_causal_triangulation/03_evaluate_sample_overlap_bias.py; code/04_causal_triangulation/15_rebuild_five_instrument_1000g_eur_ld.sh; code/04_causal_triangulation/16_audit_cis_mr_numerical_robustness.py	Figure 4A-C; Table 2; Figure S7; Table S10	yes	PASS
claim-to-code map																																										R10	Results: causal scope	Genome-wide bidirectional MR, MVMR and local PC-GMM mediation identifiability	code/04_causal_triangulation/04_run_bidirectional_genomewide_mr.py; code/04_causal_triangulation/07_run_joint_lipid_mvmr.R; code/04_causal_triangulation/11_run_local_pc_gmm.R; code/04_causal_triangulation/12_test_pc_dimension_sensitivity.R; code/04_causal_triangulation/14_finalize_causal_scope_audit.py	Figure 4D-F; Figure S8; Tables S11-S12	yes	PASS
claim-to-code map																																										R11	Results: cell context	Separation of isolated-microglial sQTL, bulk replication and single-nucleus eQTL evidence	code/05_cell_context/07_separate_bulk_and_cell_resolved_evidence.py; code/05_cell_context/08_synthesize_cell_context_evidence.py	Figure 5A-B; Table S13	yes	PASS
claim-to-code map																																										R12	Results: disease-state RNA	Adjusted disease-state pseudobulk and cross-study single-cell meta-analysis	code/05_cell_context/02_extract_single_cell_meta_analysis.py; code/05_cell_context/03_build_gse138852_pseudobulk.py; code/05_cell_context/04_analyze_gse138852_pseudobulk.R; code/05_cell_context/05_build_gse243292_microglia_pseudobulk.py; code/05_cell_context/06_analyze_gse243292_microglia_pseudobulk.R	Figure 5C; Figure S9; Tables S14-S17	yes	PASS
claim-to-code map																																										R13	Results: structure	TSPAN14-207 exon5-6 boundary mapping to EC2 and AlphaFold confidence	code/06_transcript_and_protein_context/02_map_splice_boundary_to_protein.py; code/06_transcript_and_protein_context/03_analyze_ec2_structural_context.py	Figure 5D-E; Table S18	yes	PASS
claim-to-code map																																										R14	Results: protein context	Isoform-resolved proteomic evidence audit and published perturbation bridge	code/06_transcript_and_protein_context/04_audit_protein_and_pqtl_evidence.py	Figure 6; Table S19	yes	PASS
